Rank,Order.1.2,Family.1.2,Binomial.1.2,Diet,Mass
124,Rodentia,Cricetidae,Dicrostonyx_vinogradovi,Recorded,Missing
125,Monotremata,Tachyglossidae,Zaglossus_hacketti,Missing,Recorded
126,Rodentia,Muridae,Maxomys_tajuddinii,Missing,Missing
127,Rodentia,Muridae,Diomys_crumpi,Missing,Recorded
128,Carnivora,Mustelidae,Mustela_africana,Missing,Recorded
129,Rodentia,Cricetidae,Phaiomys_leucurus,Recorded,Missing
130,Eulipotyphla,Soricidae,Sylvisorex_silvanorum,Missing,Missing
131,Eulipotyphla,Soricidae,Congosorex_phillipsorum,Missing,Recorded
132,Cetartiodactyla,Cervidae,Muntiacus_vaginalis,Recorded,Missing
133,Eulipotyphla,Talpidae,Euroscaptor_subanura,Missing,Missing
134,Eulipotyphla,Soricidae,Myosorex_zinki,Missing,Recorded
135,Rodentia,Muridae,Srilankamys_ohiensis,Missing,Recorded
136,Rodentia,Cricetidae,Dicrostonyx_nunatakensis,Recorded,Missing
137,Rodentia,Nesomyidae,Voalavo_antsahabensis,Missing,Recorded
138,Rodentia,Cricetidae,Dicrostonyx_nelsoni,Recorded,Missing
139,Rodentia,Nesomyidae,Voalavo_gymnocaudus,Missing,Recorded
140,Rodentia,Muridae,Niviventer_culturatus,Recorded,Missing
141,Carnivora,Eupleridae,Cryptoprocta_spelea,Missing,Recorded
142,Carnivora,Mustelidae,Arctonyx_hoevenii,Missing,Missing
143,Cetartiodactyla,Cervidae,Sangamona_fugitiva,Missing,Recorded
144,Eulipotyphla,Soricidae,Sylvisorex_konganensis,Missing,Recorded
145,Rodentia,Cricetidae,Peromyscus_sagax,Recorded,Missing
146,Carnivora,Mustelidae,Arctonyx_albogularis,Missing,Missing
147,Primates,Tarsiidae,Tarsius_wallacei,Missing,Recorded
148,Eulipotyphla,Soricidae,Sylvisorex_akaibei,Missing,Missing
149,Rodentia,Muridae,Ammodillus_imbellis,Missing,Recorded
150,Rodentia,Muridae,Stenocephalemys_albipes,Recorded,Missing
151,Perissodactyla,Equidae,Equus_hydruntinus,Missing,Recorded
152,Rodentia,Muridae,Paucidentomys_vermidax,Missing,Missing
153,Chiroptera,Mormoopidae,Pteronotus_paraguanensis,Missing,Recorded
154,Eulipotyphla,Soricidae,Myosorex_jejei,Missing,Missing
155,Rodentia,Cricetidae,Proedromys_bedfordi,Missing,Missing
156,Rodentia,Muridae,Tokudaia_muenninki,Missing,Recorded
157,Rodentia,Muridae,Tokudaia_osimensis,Missing,Recorded
157,Rodentia,Muridae,Tokudaia_tokunoshimensis,Missing,Recorded
159,Diprotodontia,Potoroidae,Bettongia_anhydra,Recorded,Missing
160,Cetartiodactyla,Suidae,Metridiochoerus_compactus,Missing,Recorded
161,Diprotodontia,Potoroidae,Bettongia_pusilla,Recorded,Missing
162,Cetartiodactyla,Cervidae,Morenelaphus_brachyceros,Missing,Recorded
163,Cetartiodactyla,Cervidae,Paraceros_fragilis,Missing,Recorded
164,Cetartiodactyla,Cervidae,Sinomegaceros_ordosianus,Recorded,Missing
165,Eulipotyphla,Soricidae,Myosorex_bururiensis,Missing,Missing
166,Rodentia,Muridae,Microdillus_peeli,Missing,Recorded
167,Rodentia,Ctenomyidae,Ctenomys_scagliai,Recorded,Missing
168,Lagomorpha,Ochotonidae,Ochotona_whartoni,Missing,Recorded
169,Cetartiodactyla,Cervidae,Dicroceros_spA,Missing,Recorded
170,Chiroptera,Phyllostomidae,Lophostoma_kalkoae,Missing,Missing
171,Chiroptera,Phyllostomidae,Lophostoma_occidentalis,Missing,Missing
172,Chiroptera,Miniopteridae,Miniopterus_africanus,Recorded,Missing
173,Rodentia,Muridae,Madromys_blanfordi,Missing,Recorded
174,Rodentia,Muridae,Cremnomys_cutchicus,Missing,Recorded
175,Rodentia,Muridae,Cremnomys_elvira,Missing,Recorded
176,Lagomorpha,Ochotonidae,Ochotona_hoffmanni,Recorded,Missing
177,Primates,Cercopithecidae,Piliocolobus_tholloni,Recorded,Missing
178,Rodentia,Muridae,Tryphomys_adustus,Missing,Missing
179,Rodentia,Cricetidae,Delomys_dorsalis,Missing,Recorded
180,Rodentia,Cricetidae,Delomys_sublineatus,Missing,Recorded
181,Rodentia,Cricetidae,Delomys_collinus,Missing,Recorded
182,Carnivora,Herpestidae,Herpestes_auropunctatus,Missing,Recorded
183,Rodentia,Muridae,Uromys_porculus,Recorded,Missing
184,Rodentia,Muridae,Uromys_emmae,Recorded,Missing
185,Primates,Tarsiidae,Tarsius_tumpara,Missing,Recorded
186,Rodentia,Dipodidae,Salpingotus_heptneri,Recorded,Missing
187,Eulipotyphla,Soricidae,Solisorex_pearsoni,Missing,Recorded
188,Rodentia,Muridae,Uromys_boeadii,Recorded,Missing
189,Rodentia,Caviidae,Cavia_patzelti,Missing,Missing
190,Rodentia,Hystricidae,Hystrix_kiangsenensis,Missing,Recorded
191,Cetartiodactyla,Cervidae,Muntiacus_montanus,Recorded,Missing
192,Rodentia,Hystricidae,Hystrix_refossa,Missing,Recorded
193,Primates,Pitheciidae,Callicebus_caquetensis,Missing,Missing
194,Chiroptera,Pteropodidae,Dyacopterus_spadiceus,Missing,Recorded
195,Chiroptera,Pteropodidae,Dyacopterus_brooksi,Missing,Recorded
196,Rodentia,Muridae,Apodemus_pallipes,Recorded,Missing
197,Rodentia,Cricetidae,Lemmus_amurensis,Recorded,Missing
198,Rodentia,Muridae,Chiromyscus_chiropus,Missing,Recorded
199,Rodentia,Muridae,Dasymys_rufulus,Recorded,Missing
200,Rodentia,Muridae,Lenothrix_canus,Missing,Recorded
201,Rodentia,Cricetidae,Megaoryzomys_spA,Missing,Missing
202,Cetartiodactyla,Tragulidae,Tragulus_versicolor,Missing,Recorded
203,Rodentia,Muridae,Mus_fernandoni,Recorded,Missing
204,Diprotodontia,Potoroidae,Borungaboodie_hatcheri,Missing,Recorded
205,Rodentia,Muridae,Leopoldamys_diwangkarai,Missing,Missing
206,Rodentia,Cricetidae,Oecomys_catherinae,Missing,Recorded
